Size (bp),F1: 1,F2: 2,F3: 3,F4: 4,F5: 1,F6: 2,F7: 3,F8: 4,F9: SampF9,F10: SampF10,F11: SampF11,F12: ladder
437.47,25.67,10.11,41.39,11.44,4.81,-27.92,-8.32,15.22,0.00,8.23,5.66,11.61
439.15,17.13,13.91,42.44,13.86,5.92,-22.42,-8.14,15.49,0.46,8.86,11.98,14.59
440.83,12.01,15.59,44.23,20.54,7.46,-19.38,-10.40,12.21,2.23,11.83,16.38,17.14
442.51,9.45,14.91,50.95,28.24,8.10,-17.20,-15.25,7.60,4.04,15.39,16.36,17.46
444.19,5.69,11.84,57.35,32.24,8.31,-12.67,-16.99,6.53,4.73,15.97,13.12,15.80
445.88,1.31,7.95,55.72,27.78,7.92,-6.27,-13.09,11.19,3.89,13.31,8.87,15.45
447.56,0.00,7.77,45.89,16.96,5.35,-1.34,-9.01,18.24,2.04,9.03,4.95,15.36
449.24,3.12,13.51,32.73,9.74,1.46,0.00,-10.49,21.76,0.38,3.86,2.40,11.66
450.92,7.60,20.69,21.56,9.47,0.00,-2.03,-17.48,19.48,0.00,0.22,0.96,6.19
452.60,10.12,25.45,16.77,8.65,2.69,-6.96,-25.13,15.34,1.40,1.20,0.00,2.98
454.28,9.80,31.75,17.90,3.74,7.10,-11.63,-28.75,11.87,4.05,5.23,0.00,1.81
455.96,8.30,42.82,20.09,0.00,10.90,-13.04,-28.94,7.08,6.39,8.37,0.00,0.83
457.65,8.00,52.57,20.99,0.06,13.06,-13.53,-29.06,2.66,7.12,10.53,0.00,0.00
459.33,9.42,53.72,22.03,2.01,11.66,-17.30,-29.37,3.70,7.56,13.05,0.00,1.61
461.01,10.36,48.07,22.52,4.23,7.54,-23.80,-28.99,10.56,10.91,14.00,0.00,7.82
462.69,9.75,43.06,20.51,8.16,6.01,-30.32,-28.31,18.89,15.67,11.75,0.00,16.12
464.37,8.79,40.78,19.23,10.97,9.47,-35.60,-26.14,24.33,15.23,8.91,0.00,22.35
466.05,8.27,37.59,23.21,8.58,15.33,-38.57,-21.54,27.61,8.12,8.34,0.00,25.22
467.73,9.60,33.09,30.15,8.05,21.60,-38.78,-16.27,32.88,1.15,8.47,0.00,24.70
469.41,13.83,29.19,34.45,18.26,25.87,-37.19,-10.86,36.49,0.00,6.11,0.00,21.67
471.10,17.81,24.63,34.07,31.06,23.55,-33.50,-4.66,30.40,2.14,3.14,0.00,19.19
472.78,18.95,20.37,29.79,34.23,15.21,-25.49,0.00,18.06,2.26,4.53,0.00,18.77
474.46,20.64,21.05,22.67,31.18,8.93,-13.68,-0.22,9.88,0.00,8.37,0.00,18.42
476.14,25.67,26.12,13.99,27.54,10.27,-3.53,-6.78,8.04,0.00,7.91,0.00,18.00
477.82,29.35,29.81,5.57,20.18,16.22,0.00,-14.70,7.40,0.00,3.62,0.00,19.74
479.50,25.08,29.98,0.00,11.83,20.46,-1.10,-14.42,4.57,0.00,0.73,0.00,21.83
481.18,15.69,29.78,0.00,13.27,19.81,-4.82,-7.21,1.15,0.00,0.00,0.00,0.00
482.87,11.52,0.00,5.84,25.51,16.73,-7.42,0.00,0.00,0.00,0.00,0.00,-1.64
484.55,15.26,6.88,13.92,36.86,17.27,-6.93,0.00,1.82,-5.79,1.12,-2.61,1.81
486.23,20.62,14.43,16.88,39.79,23.40,-3.61,0.00,6.17,-9.60,3.10,-4.25,7.16
487.91,23.59,20.66,19.84,38.90,0.00,0.00,0.00,12.93,-10.31,6.99,-4.50,8.52
489.59,0.00,25.27,25.26,40.04,-0.30,-0.39,0.00,18.73,-8.23,12.68,-5.01,7.49
491.27,-3.82,27.09,35.53,41.94,-4.35,-4.62,0.00,19.79,-4.16,16.96,-6.44,7.35
492.95,-9.21,25.19,50.02,41.14,-7.77,-8.98,0.00,17.19,0.29,17.41,-7.32,7.18
494.63,-12.70,21.82,60.14,38.22,-8.90,-8.73,0.00,14.40,2.67,14.70,-6.97,5.31
496.32,-12.70,20.76,58.62,36.65,-8.28,-2.40,0.00,12.81,1.56,10.79,-6.58,0.85
498.00,-10.29,22.03,45.98,39.10,-7.44,6.28,0.00,12.85,-1.41,8.31,-5.80,-5.72
499.68,-7.89,20.15,28.18,45.04,-7.05,10.07,0.00,14.70,-3.61,9.56,-3.36,-11.30
501.36,-7.42,11.89,12.69,0.00,-6.53,4.30,0.00,15.90,-5.12,13.16,-0.47,-12.58
503.04,-8.77,3.69,4.62,7.73,-6.27,-9.49,0.00,13.75,-6.94,14.66,1.30,-9.74
504.72,-10.24,3.74,2.54,14.69,-8.84,-26.24,0.00,10.30,-7.25,12.57,1.58,-5.41
506.40,-11.15,10.87,1.92,20.01,-15.92,-39.90,0.00,8.62,-4.96,10.52,-1.16,-0.30
508.09,-12.93,18.60,1.54,20.98,-24.03,-46.40,0.00,0.00,-2.49,11.86,-6.91,6.35
509.77,-15.47,23.52,1.38,21.95,-26.74,-47.96,0.00,2.84,-0.50,15.54,-11.47,12.44
511.45,-15.37,25.03,0.63,20.37,-22.26,-49.49,0.00,9.56,2.35,18.49,-11.93,14.58
513.13,-11.34,21.78,0.00,18.87,-15.66,-49.90,0.00,16.04,4.36,19.26,-9.66,12.13
514.81,-6.28,12.65,0.00,19.14,-11.10,-44.02,0.00,17.00,3.16,18.08,-7.69,7.22
516.49,-1.29,0.70,0.83,14.15,-6.58,-31.04,0.00,14.01,-0.27,14.88,-7.80,3.38
518.17,4.85,-8.48,2.93,-1.39,-1.02,-15.69,0.00,12.10,-3.58,9.63,-8.79,2.32
519.85,9.84,-13.87,4.01,-19.11,1.91,-3.71,0.00,14.22,-5.27,4.17,-9.09,1.17
521.54,8.69,-18.44,3.39,-26.38,1.05,2.54,0.00,20.29,-5.20,0.51,-10.23,-1.88
523.22,0.18,-22.81,4.86,-20.52,-1.61,3.75,-3.09,27.58,-4.01,-1.35,-13.77,-3.07
524.90,-10.88,-25.85,8.72,-9.14,-6.29,0.34,-6.61,32.21,-1.91,-2.15,-17.13,-1.49
526.58,-18.05,-27.63,9.52,0.12,-13.24,-6.96,-5.78,30.52,0.94,-2.46,-17.24,-3.33
528.26,-18.98,-26.76,5.70,8.59,-18.98,-15.25,2.02,22.01,3.12,-2.70,-16.03,-11.19
529.94,-16.02,-20.46,0.00,19.87,-20.48,-21.97,16.79,12.92,2.30,-2.47,-16.78,-18.38
531.62,-12.41,-9.80,0.19,29.20,-19.83,-26.20,29.91,10.98,-2.12,-1.94,-18.27,-18.47
533.31,-10.06,-1.29,3.73,31.48,-20.10,-26.77,26.49,16.22,-7.02,-1.52,-18.73,-13.53
534.99,-10.40,-0.16,8.84,31.99,-20.95,-23.80,8.29,22.07,-9.19,-0.01,-19.46,-9.29
536.67,-13.92,-3.67,12.10,37.79,-23.05,-20.67,-3.50,24.08,-9.95,1.59,-20.20,-7.25
538.35,-19.03,-6.23,17.69,46.01,-28.52,-19.80,1.68,23.37,-11.52,-0.03,-19.51,-5.85
540.03,-23.96,-7.02,37.23,48.01,-33.28,-19.14,11.98,22.60,-12.21,-2.51,-19.29,-5.62
541.71,-27.06,-7.42,67.06,40.01,-31.07,-15.87,12.94,24.45,-10.35,0.02,-20.65,-6.90
543.39,-25.62,-8.42,82.19,25.37,-25.15,-10.76,3.17,31.44,-7.59,6.78,-19.86,-6.77
545.08,-20.66,-11.49,69.30,11.32,-23.48,-6.43,-9.26,39.97,-5.27,11.58,-14.36,-4.01
546.76,-16.84,-14.28,45.92,5.90,-26.13,-4.00,-17.04,43.30,-2.63,12.42,-8.31,-1.33
548.44,-14.07,-10.92,31.75,11.12,-27.35,-2.06,-17.87,43.76,0.00,12.88,-8.05,-0.49
550.12,-10.83,-1.94,24.57,20.46,-25.50,4.86,-13.73,44.22,0.43,14.93,-12.67,-1.96
551.80,-11.13,5.89,15.35,27.66,-23.46,24.02,-9.57,50.10,-2.28,15.60,-14.34,-5.85
553.48,-14.93,10.66,5.15,31.80,-22.09,55.73,-8.65,58.00,-6.18,12.61,-10.51,-8.53
555.16,-14.48,14.48,-1.36,35.24,-18.91,89.44,-7.05,58.79,-8.24,9.12,-8.02,-6.45
556.84,-8.39,15.89,-5.06,40.49,-13.40,108.73,1.01,51.35,-7.69,8.81,-11.30,-2.94
558.53,-4.11,14.68,-9.30,45.44,-8.84,101.68,11.90,42.39,-6.18,10.79,-15.41,-3.70
560.21,-5.08,17.42,-13.45,46.41,-7.38,72.99,15.20,37.10,-4.45,12.76,-14.66,-8.04
561.89,-7.92,30.93,-13.68,46.24,-7.69,41.92,8.14,37.00,-2.62,13.32,-12.25,-9.50
563.57,-9.36,55.04,-9.02,51.88,-7.81,23.04,-1.61,42.44,-2.05,11.71,-15.31,-5.31
565.25,-9.80,80.73,-2.46,68.15,-6.30,15.07,-6.50,52.16,-2.97,9.50,-22.39,-0.71
566.93,-10.61,94.35,4.22,96.27,-3.04,10.46,-4.72,62.13,-4.24,8.91,-25.37,-1.12
568.61,-10.64,89.51,12.15,130.54,-0.92,7.04,2.41,67.13,-6.14,8.87,-22.10,-5.43
570.30,-9.35,71.62,21.60,155.15,-2.71,5.86,12.43,64.45,-8.14,8.17,-17.04,-9.33
571.98,-10.22,49.90,30.03,153.33,-6.52,5.47,21.55,56.25,-7.55,9.20,-13.27,-12.24
573.66,-15.06,32.71,34.91,125.43,-8.48,4.86,25.67,47.68,-4.33,13.21,-11.18,-17.36
575.34,-19.87,25.94,35.76,92.71,-6.74,7.15,23.01,43.88,-1.42,16.58,-10.61,-23.63
577.02,-20.80,28.58,36.62,76.77,-2.13,14.76,15.93,45.56,0.37,16.25,-11.61,-25.66
578.70,-19.36,34.49,37.82,79.27,1.50,24.12,9.97,47.63,1.83,13.36,-14.55,-22.49
580.38,-19.10,38.25,41.69,87.46,0.79,30.44,10.15,48.39,1.68,10.06,-18.61,-17.23
582.06,-20.54,37.69,47.44,92.52,-2.76,33.69,15.20,52.40,-1.37,7.90,-21.62,-12.33
583.75,-21.14,34.76,47.17,93.33,-6.06,34.89,17.83,57.94,-5.35,8.02,-22.92,-9.04
585.43,-18.54,33.55,35.15,88.77,-8.16,31.83,15.22,56.52,-7.28,9.66,-23.20,-7.54
587.11,-13.60,34.94,18.55,78.63,-8.45,23.46,12.25,46.89,-7.14,10.55,-22.21,-7.60
588.79,-10.61,35.71,9.59,70.35,-7.44,13.97,11.72,35.71,-7.05,9.55,-20.26,-8.46
590.47,-11.93,33.45,12.15,74.47,-6.07,8.54,11.19,28.61,-7.89,7.63,-20.08,-8.10
592.15,-14.90,29.44,20.33,91.41,-1.64,7.86,8.19,27.60,-8.37,6.33,-23.46,-6.66
593.83,-16.28,27.20,24.97,111.28,4.81,9.79,1.18,31.67,-7.05,5.42,-27.67,-7.15
595.52,-16.01,28.91,22.87,128.72,3.88,13.15,-6.91,37.81,-4.75,3.68,-28.95,-9.76
597.20,-15.80,32.44,19.39,145.69,-6.68,17.65,-12.12,42.91,-4.30,2.01,-27.04,-10.46
598.88,-16.41,33.26,19.28,158.20,-16.77,21.96,-13.04,44.92,-6.49,1.82,-24.37,-7.22
600.56,-16.85,29.25,22.60,157.47,-20.23,24.09,-12.16,43.96,-8.67,2.07,-23.03,-3.88
602.24,-16.51,23.52,29.12,146.69,-21.20,23.20,-12.91,42.51,-10.30,2.11,-22.17,-4.53
603.92,-15.53,23.11,35.19,137.92,-22.53,21.13,-13.74,43.96,-13.94,3.47,-18.91,-7.45
605.60,-13.71,31.99,33.19,133.55,-18.20,21.84,-10.53,51.39,-17.45,6.34,-14.66,-9.06
607.28,-11.41,44.99,22.70,129.34,-3.04,27.09,-5.42,65.37,-14.35,9.37,-14.71,-9.08
608.97,-8.83,52.94,11.34,128.51,14.68,33.84,-4.04,80.09,-5.03,12.55,-19.21,-8.31
610.65,-5.11,52.50,4.63,134.14,20.52,39.45,-6.20,85.35,2.38,16.38,-22.63,-6.92
612.33,-1.96,47.31,4.44,138.03,10.49,46.68,-6.21,78.06,3.87,19.27,-21.87,-5.90
614.01,-2.81,41.45,10.67,133.42,-5.72,57.40,2.15,68.60,3.40,19.38,-18.65,-6.95
615.69,-7.39,35.00,18.58,128.08,-15.48,65.67,20.87,68.55,4.40,17.81,-16.20,-10.60
617.37,-12.15,26.57,22.21,134.15,-15.50,65.87,43.46,76.03,4.80,16.34,-16.62,-15.63
619.05,-13.33,20.12,20.96,153.03,-13.13,62.39,61.01,80.36,2.20,14.10,-19.12,-19.55
620.74,-9.42,22.55,19.42,173.75,-15.06,62.08,70.17,78.17,-1.44,10.63,-20.93,-20.54
622.42,-3.70,31.71,21.25,184.23,-18.80,63.73,68.11,76.44,-2.79,8.38,-20.82,-20.44
624.10,-2.21,39.00,24.68,185.09,-18.85,63.00,51.48,78.92,-1.29,8.58,-20.05,-22.58
625.78,-7.29,43.36,26.71,187.40,-16.32,61.06,27.53,80.09,0.35,8.67,-20.95,-25.52
627.46,-13.40,47.78,28.62,194.28,-15.52,61.59,9.11,78.08,-1.21,7.03,-25.48,-25.14
629.14,-13.11,50.30,32.49,198.42,-16.30,63.95,-1.92,79.60,-5.52,6.34,-32.62,-22.64
630.82,-7.62,50.66,38.23,200.10,-17.07,64.99,-9.92,84.33,-9.70,8.31,-37.76,-22.87
632.51,-4.49,53.03,45.81,208.93,-18.80,64.80,-13.07,81.68,-13.71,9.13,-37.65,-26.50
634.19,-7.14,57.77,56.12,226.89,-20.80,66.24,-8.60,70.07,-18.64,5.52,-33.73,-31.25
635.87,-12.67,60.26,70.60,241.87,-19.54,70.38,1.48,60.70,-22.57,0.50,-28.33,-35.67
637.55,-17.35,58.31,87.18,238.90,-15.33,75.91,14.93,60.07,-22.96,-1.73,-22.57,-36.53
639.23,-19.88,55.91,96.40,216.51,-12.76,79.96,29.18,64.97,-19.42,-1.84,-19.14,-31.09
640.91,-19.53,58.04,91.67,189.07,-13.61,78.41,38.76,71.40,-12.99,-2.44,-20.33,-22.32
642.59,-15.99,65.45,79.76,171.93,-16.22,70.10,41.23,77.08,-6.33,-3.35,-23.59,-15.65
644.27,-11.68,75.25,68.95,169.84,-19.45,59.41,41.33,79.52,-3.31,-2.55,-25.45,-14.10
645.96,-9.84,81.88,57.34,178.74,-23.25,51.94,45.02,78.27,-5.33,0.05,-25.78,-17.82
647.64,-11.93,80.95,43.46,193.04,-27.57,49.99,51.17,78.68,-9.40,2.07,-25.46,-23.72
649.32,-17.01,75.96,35.87,206.04,-31.95,51.31,51.25,87.72,-10.73,2.56,-23.85,-26.14
651.00,-21.09,75.30,43.21,206.40,-36.02,51.24,41.80,104.10,-6.80,4.27,-19.60,-21.55
652.68,-21.32,81.56,63.20,190.18,-38.43,48.43,32.51,119.71,-0.65,8.58,-14.94,-13.19
654.36,-20.57,88.02,85.93,173.01,-35.95,46.06,32.77,127.36,0.92,12.84,-15.32,-7.97
656.04,-21.70,86.66,100.68,170.90,-27.39,47.21,39.65,121.54,-4.11,15.23,-19.74,-7.92
657.73,-20.89,77.67,100.33,181.13,-17.13,51.01,48.37,102.95,-9.43,16.01,-20.61,-8.89
659.41,-12.98,68.19,86.85,195.44,-9.87,52.01,63.29,85.38,-8.89,15.54,-15.98,-8.51
661.09,-0.80,63.59,70.74,210.55,-5.13,46.03,85.95,85.06,-2.79,15.71,-10.50,-8.95
662.77,6.22,64.39,62.04,221.19,-1.94,37.45,100.73,100.65,5.75,17.53,-6.68,-10.37
664.45,3.81,67.97,62.79,224.80,-2.76,36.11,91.20,111.94,14.42,18.98,-4.20,-8.73
666.13,-2.25,69.96,63.55,228.47,-7.72,47.01,65.87,104.99,20.60,20.23,-3.24,-1.82
667.81,-6.14,69.30,70.93,235.82,-11.52,66.50,47.61,89.44,21.00,23.17,-4.68,5.59
669.49,-9.21,70.49,77.77,238.91,-9.73,87.39,45.50,79.56,16.22,25.26,-8.47,6.07
671.18,-13.97,76.21,80.23,232.44,-4.50,102.61,51.82,75.44,11.74,23.27,-12.30,0.09
672.86,-17.70,82.39,75.81,222.79,-1.91,105.20,53.91,75.50,9.33,19.71,-13.19,-5.05
674.54,-15.49,83.55,61.82,219.94,-5.17,95.19,45.04,85.40,4.73,18.36,-11.17,-7.22
676.22,-7.03,79.95,39.76,228.39,-11.02,82.13,33.26,103.28,-2.44,18.36,-9.06,-9.42
677.90,2.67,77.89,19.11,242.27,-13.88,71.64,32.93,116.63,-7.09,17.28,-9.06,-11.50
679.58,7.80,82.77,11.32,249.69,-13.98,61.16,43.92,122.23,-7.33,15.01,-10.14,-12.28
681.26,5.76,92.71,18.21,249.81,-16.47,53.07,53.56,129.73,-4.95,11.96,-9.92,-14.14
682.95,-1.06,100.14,30.64,257.21,-22.23,54.97,60.43,140.14,-1.23,8.54,-10.27,-18.75
684.63,-7.95,98.46,41.38,277.91,-26.67,65.93,75.09,142.37,1.59,6.17,-15.21,-22.28
686.31,-12.04,87.68,49.61,294.17,-26.90,76.71,92.92,134.02,1.03,5.91,-22.55,-19.84
687.99,-13.26,75.61,52.21,290.25,-24.07,82.76,93.70,124.53,-1.87,8.12,-26.55,-12.35
689.67,-13.73,71.18,48.29,277.08,-20.63,87.08,76.38,119.38,-4.89,12.28,-26.99,-5.43
691.35,-16.22,74.82,45.88,271.14,-18.58,91.91,63.58,118.20,-7.34,16.24,-26.87,-3.31
693.03,-21.45,81.42,47.80,270.80,-18.43,94.93,65.05,121.25,-8.36,19.23,-24.67,-4.83
694.72,-27.06,90.12,48.59,268.47,-17.55,95.20,69.71,128.56,-7.48,21.96,-17.72,-6.49
696.40,-29.79,99.97,49.81,263.98,-13.19,97.56,71.56,138.04,-5.77,23.85,-10.21,-7.93
698.08,-28.64,104.36,55.63,263.25,-7.39,107.01,73.41,145.73,-5.14,23.66,-8.93,-9.27
699.76,-25.53,101.05,60.34,275.06,-4.77,121.10,79.73,147.40,-7.37,21.20,-13.54,-8.58
701.44,-21.96,96.25,60.08,300.00,-6.73,131.20,81.34,140.98,-10.99,18.64,-18.05,-6.91
703.12,-17.63,95.24,62.13,324.41,-10.40,130.43,71.18,129.54,-11.05,18.90,-19.52,-6.92
704.80,-14.20,98.87,69.30,336.19,-12.49,119.42,59.01,126.61,-5.99,19.93,-20.72,-6.98
706.48,-14.93,104.17,72.93,337.34,-11.56,104.82,57.42,123.67,-0.71,16.97,-24.20,-4.15
708.17,-16.91,106.22,67.90,335.92,-7.42,93.78,66.02,133.65,0.38,12.30,-27.17,0.06
709.85,-12.73,105.56,58.42,335.90,-2.19,88.98,76.31,155.88,-1.18,12.14,-25.83,1.07
711.53,-3.76,106.36,49.69,336.50,0.23,88.86,82.08,176.71,-1.77,15.58,-21.53,-2.67
713.21,-0.08,107.82,45.37,335.33,-0.56,93.64,86.21,186.96,-0.37,17.18,-18.17,-7.01
714.89,-4.84,107.77,48.33,334.15,-1.49,105.47,95.57,181.92,2.36,15.82,-16.56,-8.79
716.57,-10.73,107.14,58.69,326.68,-1.82,119.11,106.08,159.30,4.25,13.26,-15.43,-11.57
718.25,-12.58,104.86,75.74,319.25,-2.86,123.80,107.60,129.72,2.98,9.96,-15.15,-18.40
719.94,-12.33,98.76,102.78,321.04,-4.60,116.92,101.71,112.83,0.30,5.80,-16.68,-23.80
721.62,-12.41,91.59,140.75,335.64,-7.21,105.61,95.98,116.25,-0.64,1.85,-19.00,-21.40
723.30,-13.56,88.35,171.57,358.32,-12.06,97.21,92.06,132.10,-1.18,0.30,-19.89,-14.22
724.98,-16.59,89.17,168.64,379.25,-18.65,95.00,93.29,150.94,-3.84,1.56,-18.79,-10.49
726.66,-20.43,90.83,134.89,393.07,-23.45,99.16,105.59,169.31,-6.82,2.15,-18.04,-12.88
728.34,-21.89,92.93,101.44,405.75,-23.97,107.77,123.19,186.85,-6.92,-0.10,-19.53,-17.39
730.02,-21.03,95.71,86.84,418.76,-21.74,117.07,129.73,199.87,-4.57,-1.40,-21.88,-20.42
731.70,-21.85,95.17,86.37,418.74,-19.33,123.30,119.14,202.25,-2.88,1.97,-23.10,-22.48
733.39,-25.27,88.07,90.63,400.40,-17.49,126.85,105.07,193.34,-4.00,7.86,-23.10,-25.65
735.07,-28.03,78.18,93.44,385.53,-15.95,130.30,103.21,179.32,-7.90,11.45,-23.11,-29.34
736.75,-28.54,72.66,91.92,399.95,-13.86,132.76,112.13,166.29,-12.66,9.69,-24.14,-30.23
738.43,-26.77,74.15,87.08,435.49,-11.27,132.19,120.32,156.46,-15.68,3.92,-25.34,-28.09
740.11,-23.42,79.11,82.25,457.68,-10.31,129.88,128.06,150.92,-16.54,-0.55,-25.20,-27.15
741.79,-22.85,84.58,82.10,451.66,-12.42,127.12,148.24,150.68,-16.45,-0.74,-24.29,-28.54
743.47,-27.80,91.90,89.04,433.15,-16.69,123.17,177.14,153.69,-14.46,0.96,-23.29,-27.24
745.16,-32.70,101.15,97.94,419.55,-21.57,119.13,185.84,156.20,-8.88,2.02,-20.98,-19.96
746.84,-32.28,108.55,103.49,415.32,-24.19,118.70,161.73,159.03,-2.25,3.25,-18.13,-11.36
748.52,-29.91,111.43,109.01,416.85,-17.05,123.59,130.67,166.71,0.38,5.54,-18.49,-8.52
750.20,-29.56,111.11,116.98,418.51,4.91,130.62,118.67,174.58,-2.14,7.92,-23.22,-11.63
751.88,-29.10,110.36,119.18,416.76,28.53,134.57,122.10,169.09,-6.23,9.56,-28.53,-16.27
753.56,-25.69,111.41,121.38,409.62,31.40,133.54,125.33,151.36,-8.32,10.05,-30.31,-20.98
755.24,-19.89,114.03,115.90,396.99,13.33,129.06,121.77,140.31,-6.94,8.85,-28.72,-24.14
756.92,-14.56,114.99,101.53,385.69,-3.24,123.87,116.16,143.96,-1.88,6.88,-26.48,-21.17
758.61,-13.63,113.07,87.31,384.90,-2.93,122.36,118.60,151.22,5.11,6.34,-24.86,-13.08
760.29,-18.81,110.56,84.43,394.91,8.22,127.83,130.21,153.35,10.18,7.34,-22.92,-6.78
761.97,-24.84,108.83,95.38,409.66,11.76,138.81,137.90,152.69,9.90,7.23,-19.43,-4.03
763.65,-24.46,109.01,114.95,425.60,-1.10,151.17,132.54,154.62,5.36,5.29,-14.69,-2.12
765.33,-24.08,113.84,137.16,437.54,-17.93,161.66,120.03,165.27,1.63,4.73,-10.99,-3.23
767.01,-18.19,123.24,149.97,436.93,-24.27,169.63,109.70,186.82,1.01,7.13,-10.30,-10.69
768.69,-15.92,131.57,139.23,427.89,-20.87,176.33,106.12,207.71,1.52,9.78,-11.88,-20.74
770.38,-18.32,133.08,110.30,426.93,-14.86,181.74,108.86,210.39,1.73,10.61,-15.05,-26.46
772.06,-18.36,128.69,86.80,437.80,-11.24,184.72,110.42,191.97,1.98,10.56,-21.03,-25.41
773.74,-15.26,125.31,83.66,452.38,-13.71,185.07,104.30,168.22,3.62,11.18,-27.34,-20.42
775.42,-15.24,127.70,95.97,472.44,-20.58,182.21,96.35,156.90,6.72,13.10,-28.89,-15.66
777.10,-20.06,133.82,110.11,502.50,-24.05,176.63,93.16,163.11,7.35,15.48,-26.37,-12.05
778.78,-26.17,139.89,117.93,533.41,-20.45,173.40,87.79,180.82,3.18,16.88,-23.82,-8.53
780.46,-29.73,145.92,122.57,551.83,-14.14,177.12,73.84,199.16,-0.63,17.13,-22.16,-7.19
782.15,-28.28,152.62,129.92,551.33,-9.54,184.32,58.40,205.95,1.40,16.64,-20.22,-10.51
783.83,-24.28,159.51,139.08,531.45,-6.92,188.73,51.26,198.19,7.14,15.51,-16.75,-15.18
785.51,-23.26,167.33,148.65,502.33,-6.58,190.84,56.03,187.77,10.86,13.45,-12.92,-16.45
787.19,-25.07,174.05,158.12,484.00,-9.35,194.16,70.23,185.25,10.27,9.98,-12.31,-15.14
788.87,-25.23,175.06,159.50,488.77,-12.68,197.32,85.95,186.18,8.03,6.79,-13.72,-13.12
790.55,-22.63,171.80,148.58,508.94,-13.55,197.52,95.78,185.86,8.36,6.90,-11.53,-9.01
792.23,-17.13,169.69,136.87,523.94,-13.68,195.56,99.17,194.67,11.84,8.78,-7.28,-4.21
793.91,-7.86,170.11,136.28,520.56,-15.59,192.32,101.49,220.22,14.10,8.00,-8.12,-3.87
795.60,0.87,172.16,147.89,504.91,-17.35,188.37,109.35,244.53,11.35,5.86,-13.15,-8.46
797.28,2.81,174.91,164.88,486.53,-14.93,187.36,125.76,242.30,4.98,6.93,-16.43,-11.91
798.96,-1.70,175.84,173.53,467.11,-6.26,191.36,143.71,215.89,-0.68,9.65,-18.60,-9.39
800.64,-8.04,174.03,164.83,454.16,5.50,195.58,145.02,189.27,-2.18,10.48,-21.47,-3.20
802.32,-12.83,171.77,147.50,460.48,11.23,194.95,120.20,176.45,1.03,11.54,-20.92,0.14
804.00,-14.84,169.31,137.88,490.03,5.00,192.33,104.67,176.02,5.54,14.93,-14.67,-4.16
805.68,-13.90,165.13,142.47,537.56,-6.35,194.61,89.14,183.36,7.68,18.28,-7.79,-13.94
807.37,-10.38,161.63,153.45,586.84,-11.45,203.59,79.78,191.90,8.28,20.00,-5.81,-19.44
809.05,-6.30,161.61,157.83,614.28,-8.92,214.53,90.53,195.69,9.40,21.28,-7.71,-16.34
810.73,-4.07,162.35,153.06,610.92,-4.90,222.70,96.65,197.03,10.20,23.15,-8.87,-13.92
812.41,-4.02,161.13,151.59,589.53,-3.37,230.05,85.83,200.93,10.47,25.10,-7.43,-17.95
814.09,-5.58,159.91,166.47,570.86,-5.98,242.31,70.16,206.08,12.47,26.08,-3.93,-19.87
815.77,-8.06,160.15,195.16,570.39,-11.91,256.91,69.69,208.82,15.83,25.60,2.42,-13.96
817.45,-9.29,160.81,221.07,585.62,-16.59,261.67,92.52,208.94,16.43,24.10,11.89,-7.10
819.13,-8.36,162.45,229.06,595.09,-17.00,251.44,127.10,207.93,12.95,23.55,21.12,-4.99
820.82,-8.70,167.71,216.00,582.96,-14.22,236.00,151.15,206.75,9.51,25.72,26.99,-5.90
822.50,-12.32,177.15,190.63,562.18,-9.82,228.04,151.21,205.62,9.87,29.64,30.83,-8.02
824.18,-13.97,186.78,166.69,559.75,-5.47,231.10,136.26,203.44,13.67,32.98,34.96,-10.66
825.86,-7.97,192.32,152.56,581.04,-3.73,239.60,125.48,199.64,18.38,34.35,40.54,-12.27
827.54,3.01,195.90,149.29,606.10,-4.67,245.49,122.35,197.91,22.28,34.44,49.70,-12.48
829.22,11.86,201.41,154.40,620.62,-5.50,244.21,118.50,204.45,25.71,35.33,62.70,-11.95
830.90,14.56,204.74,158.69,627.56,-5.88,235.27,113.83,219.74,31.07,37.33,76.81,-11.08
832.59,9.74,199.73,151.05,629.42,-8.73,222.04,109.84,233.61,40.92,39.72,91.54,-11.62
834.27,-1.08,190.58,136.49,626.21,-14.07,212.04,102.64,233.99,53.73,44.12,109.83,-15.26
835.95,-10.61,187.29,135.06,627.04,-16.95,210.90,94.21,222.72,65.62,52.46,134.47,-19.90
837.63,-12.48,192.07,156.55,638.24,-14.28,216.79,93.21,213.76,78.30,63.94,165.85,-22.81
839.31,-9.46,198.45,187.57,645.66,-9.75,225.24,107.63,214.84,96.54,77.10,200.43,-24.02
840.99,-7.75,199.27,197.76,632.27,-8.98,234.62,136.29,222.24,118.92,92.36,233.33,-23.66
842.67,-8.43,192.03,207.95,610.82,-12.19,243.34,161.93,230.99,140.79,110.81,264.21,-22.10
844.35,-9.77,181.00,208.11,608.26,-13.82,246.56,167.52,240.63,162.78,131.54,296.46,-21.80
846.04,-11.72,174.29,189.61,617.12,-10.26,241.51,156.23,252.91,188.75,153.12,330.76,-23.77
847.72,-14.42,177.15,164.94,605.54,-5.69,233.95,141.84,266.15,218.74,176.85,362.67,-24.80
849.40,-17.94,189.21,152.79,576.76,-4.72,231.55,131.11,274.16,249.22,204.37,387.03,-22.10
